시도,시군구,발생건수,사망자수,부상자수,중상,경상,부상신고
인천,중구,64,5,70,35,33,2
인천,동구,35,2,34,19,11,4
인천,남구,177,9,178,66,95,17
인천,부평구,125,3,126,61,59,6
인천,남동구,179,2,193,66,117,10
인천,서구,139,6,142,68,69,5
인천,연수구,72,6,69,38,29,2
인천,계양구,100,4,105,48,51,6
인천,강화군,79,4,94,51,35,8
인천,옹진군,5,1,4,4,0,0
광주,동구,127,0,146,48,93,5
광주,서구,248,5,268,67,194,7
광주,북구,372,15,401,107,287,7
광주,광산구,259,16,289,86,198,5
광주,남구,131,8,141,52,86,3
대전,동구,279,11,313,119,189,5
대전,중구,234,4,255,92,151,12
대전,서구,290,8,308,100,196,12
대전,유성구,239,5,275,94,176,5
대전,대덕구,134,6,134,51,77,6
울산,중구,151,5,159,58,81,20
울산,남구,169,8,174,78,88,8
울산,동구,70,3,71,36,35,0
울산,북구,67,4,76,32,40,4
울산,울주군,132,7,159,55,84,20
세종,세종,128,8,136,61,70,5
